Target: GroundStatSat

Observer: BroncoSpace
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
24 Jul 2024 13:16:32.354    24 Jul 2024 13:19:42.980      190.62612669    
25 Jul 2024 00:47:19.184    25 Jul 2024 00:50:28.244      189.05915640    
25 Jul 2024 12:59:36.144    25 Jul 2024 13:04:06.567      270.42304161    
26 Jul 2024 02:04:54.136    26 Jul 2024 02:08:15.315      201.17945974    
26 Jul 2024 12:43:04.946    26 Jul 2024 12:48:06.449      301.50297041    
27 Jul 2024 01:48:09.521    27 Jul 2024 01:52:38.809      269.28839082    
27 Jul 2024 12:26:50.331    27 Jul 2024 12:31:51.060      300.72952013    
28 Jul 2024 01:31:41.817    28 Jul 2024 01:36:38.181      296.36426142    
28 Jul 2024 12:10:51.796    28 Jul 2024 12:15:20.944      269.14851184    
29 Jul 2024 01:15:25.952    29 Jul 2024 01:20:18.547      292.59557052    
29 Jul 2024 11:55:15.822    29 Jul 2024 11:58:29.705      193.88230151    
30 Jul 2024 00:59:23.445    30 Jul 2024 01:03:38.391      254.94600262    
30 Jul 2024 13:12:39.237    30 Jul 2024 13:16:11.212      211.97512702    
31 Jul 2024 00:43:46.860    31 Jul 2024 00:46:25.105      158.24452207    
31 Jul 2024 02:18:26.619    31 Jul 2024 02:19:25.373      58.753860870    
31 Jul 2024 12:55:40.950    31 Jul 2024 13:00:19.950      279.00000078    
01 Aug 2024 02:00:49.728    01 Aug 2024 02:04:29.772      220.04335643    
01 Aug 2024 12:39:05.002    01 Aug 2024 12:44:07.642      302.64025521    


Number of events : 68


Observer: MountSac
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Jul 2024 03:49:08.289    02 Jul 2024 03:53:10.872      242.58297309    
02 Jul 2024 15:58:32.385    02 Jul 2024 16:03:06.089      273.70473681    
03 Jul 2024 03:34:34.766    03 Jul 2024 03:36:16.180      101.41356869    
03 Jul 2024 15:42:35.740    03 Jul 2024 15:47:38.493      302.75216934    
04 Jul 2024 04:51:54.010    04 Jul 2024 04:55:25.657      211.64695916    
04 Jul 2024 15:26:57.007    04 Jul 2024 15:31:53.858      296.85122569    
05 Jul 2024 04:35:40.814    05 Jul 2024 04:40:19.645      278.83116023    
05 Jul 2024 15:11:36.866    05 Jul 2024 15:15:51.622      254.75603716    
06 Jul 2024 04:19:46.158    06 Jul 2024 04:24:48.445      302.28761021    
06 Jul 2024 14:56:48.629    06 Jul 2024 14:59:18.633      150.00350297    
07 Jul 2024 04:04:05.355    07 Jul 2024 04:08:56.850      291.49566198    
07 Jul 2024 16:14:31.092    07 Jul 2024 16:17:45.271      194.17965455    
08 Jul 2024 03:48:41.588    08 Jul 2024 03:52:41.740      240.15204400    
08 Jul 2024 15:57:59.675    08 Jul 2024 16:02:34.724      275.04835693    
09 Jul 2024 03:34:02.993    09 Jul 2024 03:35:34.993      91.999961785    
09 Jul 2024 15:41:54.852    09 Jul 2024 15:46:58.465      303.61293904    
10 Jul 2024 04:51:08.491    10 Jul 2024 04:54:40.573      212.08265919    
10 Jul 2024 15:26:08.224    10 Jul 2024 15:31:04.966      296.74194180    
11 Jul 2024 04:34:47.127    11 Jul 2024 04:39:25.671      278.54351469    
11 Jul 2024 15:10:40.677    11 Jul 2024 15:14:53.457      252.78087719    
12 Jul 2024 04:18:44.473    12 Jul 2024 04:23:45.355      300.88138701    
12 Jul 2024 14:55:47.040    12 Jul 2024 14:58:09.267      142.22692545    
13 Jul 2024 04:02:56.019    13 Jul 2024 04:07:44.238      288.21948313    
13 Jul 2024 16:13:12.395    13 Jul 2024 16:16:34.024      201.62838389    
14 Jul 2024 03:47:25.524    14 Jul 2024 03:51:18.616      233.09214654    
14 Jul 2024 15:56:34.634    14 Jul 2024 16:01:13.111      278.47670694    
15 Jul 2024 03:32:52.222    15 Jul 2024 03:33:49.263      57.041366387    
15 Jul 2024 15:40:22.782    15 Jul 2024 15:45:27.229      304.44608931    
16 Jul 2024 04:49:29.126    16 Jul 2024 04:53:06.806      217.67954186    
16 Jul 2024 15:24:29.295    16 Jul 2024 15:29:23.993      294.69822363    
17 Jul 2024 04:33:01.008    17 Jul 2024 04:37:41.345      280.33746587    
17 Jul 2024 15:08:55.696    17 Jul 2024 15:13:01.997      246.30046764    
18 Jul 2024 04:16:51.206    18 Jul 2024 04:21:50.788      299.58196644    
18 Jul 2024 14:54:01.129    18 Jul 2024 14:56:02.259      121.13025666    
19 Jul 2024 04:00:55.968    19 Jul 2024 04:05:38.982      283.01331291    
19 Jul 2024 16:10:59.741    19 Jul 2024 16:14:33.631      213.88971128    
20 Jul 2024 03:45:20.279    20 Jul 2024 03:49:00.989      220.70961243    
20 Jul 2024 15:54:17.293    20 Jul 2024 15:59:00.739      283.44527157    
21 Jul 2024 05:04:22.896    21 Jul 2024 05:05:20.991      58.095160208    
21 Jul 2024 15:37:59.441    21 Jul 2024 15:43:04.224      304.78300505    
22 Jul 2024 04:46:55.925    22 Jul 2024 04:50:43.664      227.73943279    
22 Jul 2024 15:22:00.095    22 Jul 2024 15:26:50.248      290.15273902    
23 Jul 2024 04:30:22.210    23 Jul 2024 04:35:06.072      283.86237288    
23 Jul 2024 15:06:21.972    23 Jul 2024 15:10:16.219      234.24717259    
24 Jul 2024 04:14:06.038    24 Jul 2024 04:19:04.059      298.02086862    
24 Jul 2024 14:51:36.655    24 Jul 2024 14:52:50.720      74.065609567    
25 Jul 2024 03:58:04.930    25 Jul 2024 04:02:40.192      275.26289353    
25 Jul 2024 16:07:53.280    25 Jul 2024 16:11:42.621      229.34173752    
26 Jul 2024 03:42:26.118    26 Jul 2024 03:45:47.274      201.15649919    
26 Jul 2024 15:51:07.310    26 Jul 2024 15:55:56.478      289.16771432    
27 Jul 2024 05:00:43.843    27 Jul 2024 05:02:37.029      113.18589281    
27 Jul 2024 15:34:44.369    27 Jul 2024 15:39:48.290      303.92092714    
28 Jul 2024 04:43:28.660    28 Jul 2024 04:47:29.726      241.06653091    
28 Jul 2024 15:18:40.204    28 Jul 2024 15:23:22.391      282.18697147    
29 Jul 2024 04:26:50.180    29 Jul 2024 04:31:38.602      288.42229239    
29 Jul 2024 15:02:59.572    29 Jul 2024 15:06:34.152      214.57995063    
30 Jul 2024 04:10:28.362    30 Jul 2024 04:15:23.821      295.45852679    
30 Jul 2024 16:21:28.254    30 Jul 2024 16:23:13.593      105.33938790    
31 Jul 2024 03:54:22.449    31 Jul 2024 03:58:46.211      263.76196956    
31 Jul 2024 16:03:52.741    31 Jul 2024 16:07:59.030      246.28954214    
01 Aug 2024 03:38:44.024    01 Aug 2024 03:41:34.215      170.19095885    
01 Aug 2024 15:47:03.992    01 Aug 2024 15:51:58.644      294.65243518    


Number of events : 62


Observer: NorthEastern
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Jul 2024 00:37:27.391    02 Jul 2024 00:40:44.940      197.54862988    
02 Jul 2024 02:12:26.780    02 Jul 2024 02:13:28.198      61.417565052    
